Year,Force,HOMICIDE,Harassment,Kidnapping,TOTAL ROBBERY,Domestic burglary,Shoplifting,TOTAL THEFT OFFENCES,Arson,Criminal damage,TOTAL DRUG OFFENCES,TOTAL POSSESSION OF           WEAPONS OFFENCES,TOTAL  - ALL OFFENCES
2002,Avon and Somerset,19,709,95,3504,14561,8410,111976,1318,24884,2308,735,168527
2002,Bedfordshire,2,176,35,997,3784,3724,35222,698,9308,1069,417,56923
2002,British Transport Police,4,21,19,2242,12,1543,47523,360,10974,2230,734,76094
2002,Cambridgeshire,12,539,24,906,5457,4420,49941,1462,14560,904,335,82465
2002,Cheshire,8,222,21,631,6409,5542,48910,723,18151,1717,330,83069
2002,Cleveland,9,66,27,1434,7321,6207,47165,666,13884,1685,384,72978
2002,Cumbria,4,77,12,130,2146,2571,18932,408,9855,1038,154,36966
2002,Derbyshire,8,544,24,1048,8551,5455,61155,1003,16643,1877,577,100615
2002,Devon and Cornwall,19,494,34,710,7207,7126,67135,1363,25360,4516,899,126732
2002,Dorset,9,297,14,437,2947,3480,34314,703,11493,1371,272,57965
2002,Durham,6,211,12,287,3083,2996,25462,629,13381,1289,325,50344
2002,Dyfed-Powys,9,85,6,40,666,1390,8620,128,4762,2978,381,24145
2002,Essex,22,954,26,1328,7138,8336,73601,1453,28772,2377,830,133032
2002,Gloucestershire,9,180,22,521,3369,3816,31641,464,9557,1311,280,52730
2002,Greater Manchester,225,669,230,10745,42396,16399,218896,3427,73036,5667,1974,369802
2002,Gwent,6,515,25,329,3001,2878,28119,656,12213,1585,262,60088
2002,Hampshire,36,616,56,966,6793,9784,82412,1355,33256,3938,939,149541
2002,Hertfordshire,7,196,47,862,5294,5474,53452,715,17234,1553,449,83487
2002,Humberside,18,242,44,1807,12191,8114,82789,1497,22738,1883,565,130516
2002,Kent,19,473,40,1242,7655,8394,72902,1251,27658,3236,977,128343
2002,Lancashire,28,569,53,1409,9513,7781,71451,1443,29210,4084,757,127232
2002,Leicestershire,12,1004,58,1453,6450,4778,52077,792,18364,1629,448,93518
2002,Lincolnshire,9,70,25,307,4290,3517,34231,926,12654,1060,382,60430
2002,City of London,1,68,1,45,46,939,6533,6,359,790,137,9170
2002,Merseyside,41,196,122,2994,14608,9710,88271,1355,35917,5419,1079,161099
2002,Metropolitan Police,195,10547,1144,42493,72237,41999,604834,6067,137319,33311,9393,1031474
2002,Norfolk,10,173,34,579,3820,3730,38726,752,15187,1392,427,69222
2002,North Wales,11,148,12,224,3227,4020,31563,678,16304,1830,307,64019
2002,North Yorkshire,3,190,29,356,4766,4604,40475,420,12701,1582,294,65342
2002,Northamptonshire,9,474,26,1015,4871,3948,40452,784,14853,979,325,69882
2002,Northumbria,19,682,55,1442,11179,10911,81699,2481,39386,6040,1246,161655
2002,Nottinghamshire,18,409,69,2799,16418,9578,107737,1377,22499,2352,694,156308
2002,South Wales,11,865,32,784,8060,6988,80946,1347,29350,3872,846,140240
2002,South Yorkshire,25,414,72,2112,17836,8214,97835,1404,28373,3448,895,149266
2002,Staffordshire,7,911,47,900,6458,5889,55881,965,22027,2264,500,105860
2002,Suffolk,5,167,16,249,2284,3289,25342,551,10883,1689,360,48633
2002,Surrey,14,174,31,605,4140,3680,38897,596,13018,1934,317,65317
2002,Sussex,23,580,52,1319,8209,6988,74949,1105,24348,2665,726,126143
2002,Thames Valley,28,1308,82,2406,13809,11350,130143,1686,31890,4903,929,201379
2002,Warwickshire,4,91,11,354,3070,2235,26546,461,8046,751,162,42785
2002,West Mercia,9,972,44,728,6239,5895,54862,1204,19914,2053,432,101891
2002,West Midlands,66,3196,234,10249,26942,18352,197237,3712,53276,8828,2734,337061
2002,West Yorkshire,43,669,124,4947,36406,13858,208089,2765,58522,5015,941,316173
2002,Wiltshire,5,86,12,336,2724,2569,24376,396,8801,898,229,42816
2003,Avon and Somerset,18,942,102,2908,10966,8658,94984,1793,27841,2457,855,160603
2003,Bedfordshire,8,213,31,993,5006,3708,35169,592,10402,1130,493,58899
2003,British Transport Police,51,26,16,2542,12,1439,45921,384,12526,2451,718,77932
2003,Cambridgeshire,9,588,30,786,4290,4165,43595,1149,15240,1047,307,77490
2003,Cheshire,13,268,28,647,5780,5638,49346,948,21516,1695,418,90636
2003,Cleveland,6,73,41,1355,6484,5039,42969,654,16246,1368,373,73729
2003,Cumbria,12,101,9,124,1799,2505,18002,458,11112,1189,189,38828
2003,Derbyshire,13,587,40,1019,7680,4852,54858,971,17816,1932,625,96101
2003,Devon and Cornwall,16,504,30,562,6027,6730,61785,1554,28400,4826,872,126999
2003,Dorset,9,388,19,445,3099,3238,33720,931,12453,1455,325,59726
2003,Durham,1,197,9,267,2843,2709,24176,585,13616,1205,334,47764
2003,Dyfed-Powys,1,86,7,54,944,1533,11394,260,6696,2420,328,30116
2003,Essex,12,1276,44,1476,7055,8306,73360,1567,32514,2295,1079,141081
2003,Gloucestershire,6,152,23,541,3335,3854,32833,505,10251,1288,293,55186
2003,Greater Manchester,54,855,208,9246,37762,15489,200036,3998,76501,5981,2280,359994
2003,Gwent,5,387,26,274,3199,2970,28615,642,12799,1422,300,58488
2003,Hampshire,21,1453,79,1040,7030,11276,84757,2048,41249,3967,1182,174550
2003,Hertfordshire,10,322,30,972,5649,5536,54149,680,19084,1678,534,91217
2003,Humberside,24,631,51,1896,10410,7676,78164,1930,26245,1874,657,139582
